iso3,year,economy_type,climate_risk_tier,state_output_growth,state_debt_to_gdp,state_primary_balance,state_interest_rate,state_climate_shock,state_adaptation_capital,state_risk_premium,gdp_growth,gdp_growth_UNCORRECTED,debt_to_gdp,weo_primary_balance,real_interest_rate_winsorised,climate_damage_gdp_pct_5yr,ndgain_readiness,r_minus_g_corrected,is_projection
BLZ,2008,Emerging Market,Medium,-1.140112121343342,0.6736423495358932,0.0150513709835743,-0.6714245389185869,2.252728156463362,-0.383115861021626,-0.1463295422640832,-1.5203145478374758,-1.5203145478374758,64.649831,0.146,-6.237044297001194,0.4258352874220223,0.337477186203538,-4.716729749163719,False
BLZ,2009,Emerging Market,Medium,-0.8919997880437761,0.8132317721926574,0.0039700717666819,0.2945057195840437,2.252728156463362,-0.3862373066546052,0.554027737793089,-0.4524886877828038,-0.4524886877828038,69.710271,0.019,1.2506065706975462,0.4258352874220223,0.337172718624807,1.70309525848035,False
BLZ,2010,Emerging Market,Medium,-0.5010812481843574,0.7811332721160967,0.0055406496084462,0.0342981731803291,2.252728156463362,-0.3950767776794692,0.15043865522170943,1.2299465240641627,1.2299465240641627,68.546626,0.037,-0.7664575428460378,0.4258352874220223,0.336310511603878,-1.9964040669102006,False
BLZ,2011,Emerging Market,Medium,-0.8543715111944093,0.7214443700246801,0.0078965163710926,-0.0604350951352254,2.252728156463362,-0.5095773569179854,0.23620115176254167,-0.2905441098784989,-0.2905441098784989,66.382765,0.064,-1.5008062522471608,0.4258352874220223,0.325142060115978,-1.210262142368662,False
BLZ,2012,Emerging Market,Medium,0.06253291023580254,0.6388178719721556,0.0066749558274982,-0.0155974371576528,0.8255909001275468,-0.4454086858776533,-0.1563808465943151,3.655629139072847,3.655629139072847,63.387363,0.05,-1.153235891233942,0.1625352554707241,0.331401108710519,-4.808865030306789,False
BLZ,2013,Emerging Market,Medium,0.24634417831289987,0.6241198045355278,0.0053661409593612,0.0846026889370953,-0.0553817181865857,-0.4187697137904895,-0.1579474757086763,4.446716074623058,4.446716074623058,62.854524,0.035,-0.3765094614605223,0.0,0.33399948916782,-4.823225536083581,False
BLZ,2014,Emerging Market,Medium,0.1398195650567,0.587949013024464,0.0035338001439696,-0.0033251703640895,-0.0553817181865857,-0.4518829356556996,-0.18228983567078488,3.9882554440910254,3.9882554440910254,61.543249,0.014,-1.0581043345852237,0.0,0.330769606712472,-5.0463597786762495,False
BLZ,2015,Emerging Market,Medium,-0.03786667322721958,0.6854782550864263,-0.0092053312392295,0.2628707240184264,-0.0553817181865857,-0.4551340694319614,0.12624780993326684,3.223529411764692,3.223529411764692,65.07891,-0.132,1.0053799615179826,0.0,0.330452489278636,-2.2181494502467096,False
BLZ,2016,Emerging Market,Medium,-0.7868627724336633,0.8333093854387291,-0.0060641755557009,0.0670102412637456,-0.0553817181865857,-0.4925272818030203,0.31228039756976167,0.0,0.0,70.438131,-0.096,-0.5128817356767802,0.0,0.326805134120083,-0.5128817356767802,False
BLZ,2017,Emerging Market,Medium,-1.2105742919200506,1.0448141562924105,-0.0016142050040355,0.0034023921100825,-0.0553817181865857,-0.4929589079984151,0.4574282105775645,-1.8235696375655144,-1.8235696375655144,78.105669,-0.045,-1.0059539453062696,0.0,0.326763033055999,0.8176156922592448,False
