t,action,reward,debt_ratio,gdp_growth,inflation,climate_shock,terminated,truncated,episode
21,2,-3.53051842658261,1.3223212957382202,0.10000000149011612,0.20000000298023224,0.32862523198127747,False,False,41
22,1,-3.5624453368901143,1.3056366443634033,0.0866846814751625,0.19500000774860382,0.3315318524837494,False,False,41
23,1,-3.4720156739303922,1.2885818481445312,0.07373951375484467,0.1900000125169754,0.29451653361320496,False,False,41
24,2,-3.5875295058076113,1.324905276298523,0.082158662378788,0.20000000298023224,0.31617075204849243,False,False,41
25,1,-3.47828242877369,1.3076390027999878,0.06942489743232727,0.19500000774860382,0.2733762860298157,False,False,41
26,1,-3.5973591865505266,1.2906982898712158,0.056365594267845154,0.1900000125169754,0.30593016743659973,False,False,41
27,2,-3.689721327025956,1.3270940780639648,0.06476665288209915,0.20000000298023224,0.3197888135910034,False,False,41
28,1,-3.9626448161430377,1.3111079931259155,0.050752680748701096,0.19500000774860382,0.40139737725257874,False,False,41
29,1,-3.9201200616729412,1.2948919534683228,0.03696874901652336,0.1900000125169754,0.3783933222293854,False,False,41
30,2,-3.995925915215908,1.3325982093811035,0.04504218325018883,0.20000000298023224,0.3853134512901306,False,False,41
31,1,-4.219220101187442,1.3170908689498901,0.030549561604857445,0.19500000774860382,0.4492620825767517,False,False,41
32,1,-4.391095524754167,1.302040934562683,0.015599523670971394,0.1900000125169754,0.49500375986099243,False,False,41
33,1,-4.392324688627198,1.2868821620941162,0.0007583496626466513,0.18500001728534698,0.48411738872528076,False,False,41
34,2,-4.5100445760433825,1.3268989324569702,0.00825416762381792,0.1975041925907135,0.5008364319801331,False,False,41
35,1,-4.575987398881116,1.3120079040527344,-0.006854796316474676,0.19250419735908508,0.5108963847160339,False,True,41
0,2,-2.5343337050522003,0.8202122449874878,0.027849406003952026,0.05450722575187683,0.30804726481437683,False,False,42
1,2,-2.659701657886342,0.8568431735038757,0.0361916683614254,0.06616496294736862,0.33154788613319397,False,False,42
2,2,-2.7243382401385348,0.893537700176239,0.04451804235577583,0.07783859223127365,0.3347252905368805,False,False,42
3,2,-2.6612041967806066,0.9294631481170654,0.05303667485713959,0.08931995928287506,0.29627376794815063,False,False,42
4,2,-2.835366741302794,0.966181755065918,0.06135702505707741,0.1009996086359024,0.3359297215938568,False,False,42
5,2,-2.9549389307741993,1.0033190250396729,0.06957269459962845,0.11278393864631653,0.35686546564102173,False,False,42
6,2,-2.975478868457063,1.0402207374572754,0.07784727215766907,0.12450936436653137,0.3450850248336792,False,False,42
7,2,-3.0362249030020205,1.0771540403366089,0.08611393719911575,0.13624270260334015,0.34666702151298523,False,False,42
8,2,-2.9845381386301244,1.1133869886398315,0.09455570578575134,0.14780093729496002,0.3116469383239746,False,False,42
9,2,-2.9895739870660276,1.1492047309875488,0.10000000149011612,0.15925535559654236,0.2908846437931061,False,False,42
10,2,-3.0654085985454778,1.1848996877670288,0.10000000149011612,0.17067910730838776,0.2847503125667572,False,False,42
11,2,-3.3025465478030767,1.2215317487716675,0.10000000149011612,0.18233712017536163,0.33160293102264404,False,False,42
