t,action,reward,debt_ratio,gdp_growth,inflation,climate_shock,terminated,truncated,episode
32,2,-3.375175636228705,1.5677707195281982,0.008316830731928349,0.12236334383487701,0.012163884937763214,False,False,2
33,0,-3.398525940650592,1.5880846977233887,0.008254040032625198,0.12239474058151245,0.006279103457927704,False,False,2
34,2,-3.481211300077276,1.6185499429702759,0.018137743696570396,0.13251103460788727,0.023259390145540237,False,False,2
35,0,-3.558604492929004,1.6402456760406494,0.017798593267798424,0.13268060982227325,0.0339149534702301,False,True,2
0,3,-2.453893985190393,1.0990979671478271,0.014492330141365528,0.027066659182310104,0.09134212136268616,False,False,3
1,0,-2.668959687592329,1.1262038946151733,0.01307115238159895,0.02777724713087082,0.14211775362491608,False,False,3
2,1,-2.786521770961319,1.1079756021499634,0.0012994414428249002,0.022777246311306953,0.17717109620571136,False,False,3
3,0,-2.9203005301258376,1.1378694772720337,-0.0006793308421038091,0.02376663312315941,0.19787722826004028,False,False,3
4,3,-2.9559978199907864,1.152869462966919,0.0013206691946834326,0.025766633450984955,0.20177631080150604,False,False,3
5,2,-2.9222176108157387,1.1863917112350464,0.010440101847052574,0.03664720058441162,0.17611341178417206,False,False,3
6,1,-2.90632437241481,1.1680608987808228,-0.001229106797836721,0.031647201627492905,0.16692087054252625,False,False,3
7,2,-2.8941167811294233,1.2010433673858643,0.0080252755433321,0.04239282011985779,0.14912359416484833,False,False,3
8,3,-2.7630338975053093,1.2160433530807495,0.010025275871157646,0.044392820447683334,0.0974292978644371,False,False,3
9,0,-2.7197127021643603,1.2393498420715332,0.009363988414406776,0.04472346231341362,0.06612871587276459,False,False,3
10,3,-2.68087639952945,1.2543498277664185,0.011363988742232323,0.046723462641239166,0.045183245092630386,False,False,3
11,2,-2.7245150719566302,1.2853201627731323,0.021121405065059662,0.05696604400873184,0.048516564071178436,False,False,3
12,2,-2.6532219420894334,1.315608024597168,0.031049443408846855,0.06703800708055496,0.014392375014722347,False,False,3
13,2,-2.640044846311212,1.3456079959869385,0.04104944318532944,0.0770380049943924,0.0,False,False,3
