country,year,gdp_current_usd,gdp_growth,debt_to_gdp,inflation,exports_gdp,imports_gdp,gdp_per_capita,population,foreign_reserves,current_account_balance
EGY,2005,89660339660.3397,4.47174447174434,,4.86939696871988,30.3435468895079,32.6090993500464,1105.53920713903,81101004.0,21856784928.5556,2.34529559888579
EGY,2006,107426086956.522,6.84383819379117,,7.64452644526434,29.9498138254816,31.5687226809131,1298.97900203124,82700403.0,26006845068.1543,2.45322162862231
EGY,2007,130437828371.278,7.08782742681038,85.7885338345865,9.3189690579923,30.249731471536,34.828141783029,1547.74170735909,84276225.0,32214421786.3476,0.315552631578947
EGY,2008,162818181818.182,7.15628356605819,,18.3168316831684,33.0429927414852,38.6376326074819,1896.21594269779,85864789.0,34330505048.3926,-0.868821887213847
EGY,2009,189147005444.646,4.67359979952391,,11.7634954386443,24.9568221070812,31.596622529265,2161.63964573927,87501636.0,34896678266.342,-1.7707391095759
EGY,2010,218983666061.706,5.1472348575531,,11.2651882653185,21.3492458146859,26.5871042599039,2455.08194645282,89196072.0,37028506134.5559,-2.05668307641306
EGY,2011,235989672977.625,1.7645719489982,,10.0649259874818,20.5674276128656,24.6882065494858,2590.64384891965,91093059.0,18637541110.4777,-2.32378812632193
EGY,2012,279116666666.667,2.22619979863525,,7.11172943343083,16.3969666208873,24.3148026512211,2996.0677072015,93161001.0,15672467970.7728,-2.49788021735236
EGY,2013,288434108527.132,2.18546605362143,,9.46971981064921,17.0178456245969,23.3551924317351,3025.52563552448,95333553.0,16536236826.4074,-1.22513249838744
EGY,2014,305595408895.265,2.91591187985748,,10.0702154687481,14.2441314553991,22.6760563380282,3133.39102265541,97528654.0,14926998051.7397,-1.94849131455399
EGY,2015,329366576819.407,4.37201907790141,,10.370490343517,13.1838454928598,21.6620974671631,3306.98159414141,99597342.0,15858887325.7756,-5.23529137853431
EGY,2016,332441717791.411,4.34664345555447,,13.813606214829,10.3454639403558,19.9010851110947,3270.6287768197,101644589.0,23642691705.9678,-6.16465951871263
EGY,2017,248362771739.13,4.18122099994778,,29.5066083940039,15.0140868185672,27.8180475395935,2395.10333299491,103696057.0,36400242555.8255,-3.19681566782461
EGY,2018,262588632526.73,5.3311086189448,,14.4014657807422,17.984655608418,27.9263640649779,2484.70315630508,105682094.0,41839242990.7097,-2.93164483711978
EGY,2019,318678815489.749,5.55209307156956,,9.15279959324804,16.6440314510365,24.4799857040743,2962.98892023003,107553158.0,44568837112.0669,-3.20758543154937
EGY,2020,383817841547.099,3.55016483786838,,5.04493288977539,12.4727757370868,19.6534798296655,3511.11381026379,109315124.0,38972812936.6708,-3.70903990583373
EGY,2021,424671765455.704,3.29064601202211,,5.21404940513043,10.5611502153652,19.295823265447,3827.35415374308,110957008.0,39824388217.3615,-4.38240299812
EGY,2022,476747720364.742,6.58784560886967,,13.8956609775178,15.0870258208479,21.8960790564233,4233.30783744856,112618250.0,32143926008.4607,-2.2100904275198
EGY,2023,395926075163.006,3.76028052279247,,33.8847763115546,19.1060913405676,21.3443094314355,3456.78968456253,114535772.0,33070180836.1374,-3.17338760075615
EGY,2024,389059911003.566,2.3991692678251,,28.2705899322083,16.3762422101126,23.2245098772607,3338.47371395895,116538258.0,44921341018.4659,-5.72048144014404
EMU,1990,5905615266811.65,3.59125766124586,,3.97518340428825,25.1131450879611,25.558336110075,18683.5116155586,316087007.0,,
EMU,1991,6127707302712.63,2.36339610868586,,4.17862274798466,25.0529111790771,25.4909430965344,19305.465017279,317407910.0,,
EMU,1992,6750506224912.11,1.12209067760165,,5.2705899859293,24.7552558655301,24.919796431641,21178.5256358016,318742973.0,,
EMU,1993,6180487033219.2,-0.682682169925428,,4.59790321006556,24.7607441796027,23.5617815989951,19310.813004459,320053176.0,,
EMU,1994,6531158637825.7,2.51527168695237,,4.41425556346619,26.1676768619669,24.81191630012,20344.7655226337,321024031.0,,
EMU,1995,7540043718350.13,2.46938801978264,,4.08646004554944,27.7656189824631,26.1944805300243,23430.2422057728,321808185.0,,
EMU,1996,7629501026055.96,1.74279875100405,,3.02395109495527,28.1362500680165,26.3131995888477,23652.3522705446,322568383.0,,
EMU,1997,6977670410602.33,2.76386635331764,,2.223054305268,30.4314073715334,28.2205740358504,21582.2300714774,323306275.0,,
EMU,1998,7174357611624.96,3.00046427355869,,2.30647934035989,31.0204481051306,29.0821403362284,22144.6949274767,323976358.0,,
EMU,1999,7148860255013.26,3.00994305317883,,1.8991144190705,31.3074169208371,29.9129021348745,22011.2608875031,324781951.0,373680648643.053,
