country,year,imf_debt_gdp
BOL,2012,35.39428
BOL,2013,36.097127
BOL,2014,37.602707
BOL,2015,40.904668
BOL,2016,46.489862
BOL,2017,51.259946
BOL,2018,53.075541
BOL,2019,58.625507
BOL,2020,77.971247
BOL,2021,81.404931
BOL,2022,80.125189
BOL,2023,90.776831
BOL,2024,100.86438
BRA,1990,50.002665
BRA,1991,60.3071
BRA,1992,98.414334
BRA,1993,77.026471
BRA,1994,39.49985
BRA,1995,33.390598
BRA,1996,40.228735
BRA,1997,42.482921
BRA,1998,54.424387
BRA,1999,64.583266
BRA,2000,62.645676
BRA,2001,66.265559
BRA,2002,74.976546
BRA,2003,70.573579
BRA,2004,67.073005
BRA,2005,66.262309
BRA,2006,63.952416
BRA,2007,62.451685
BRA,2008,60.656016
BRA,2009,63.807696
BRA,2010,61.31878
BRA,2011,59.341658
BRA,2012,59.84949
BRA,2013,57.228409
BRA,2014,58.457271
BRA,2015,67.537554
BRA,2016,73.418816
BRA,2017,78.608901
BRA,2018,80.359371
BRA,2019,82.683081
BRA,2020,90.941665
BRA,2021,84.50931
BRA,2022,80.14664
BRA,2023,80.54565
BRA,2024,83.481998
BRB,1990,40.505034
BRB,1991,41.797319
BRB,1992,44.471219
BRB,1993,45.562172
BRB,1994,55.021379
BRB,1995,55.895502
BRB,1996,56.120517
BRB,1997,56.910303
BRB,1998,50.536457
BRB,1999,50.101031
BRB,2000,56.609235
BRB,2001,62.607952
BRB,2002,66.086126
BRB,2003,66.566461
BRB,2004,66.479826
BRB,2005,68.19843
BRB,2006,69.793811
BRB,2007,69.047317
BRB,2008,72.633571
BRB,2009,88.520531
BRB,2010,96.038765
BRB,2011,98.703397
BRB,2012,109.35214
BRB,2013,118.55871
BRB,2014,121.99509
BRB,2015,131.88838
BRB,2016,136.45281
BRB,2017,143.57559
BRB,2018,115.01561
BRB,2019,109.47401
BRB,2020,128.38585
BRB,2021,130.1797
BRB,2022,116.93886
BRB,2023,113.44201
BRB,2024,104.38342
BRN,2001,2.6319818
BRN,2002,1.768891
BRN,2003,0.88720353
BRN,2004,0.36708532
BRN,2005,0.28713825
BRN,2006,0.59420399
BRN,2007,0.68450228
BRN,2008,0.94239953
BRN,2009,1.109942
BRN,2010,1.1129065
BRN,2011,2.1285178
BRN,2012,2.1006373
BRN,2013,2.2085993
BRN,2014,3.2312276
BRN,2015,2.9530869
BRN,2016,3.0048788
BRN,2017,2.8254663
BRN,2018,2.585699
BRN,2019,2.5752399
BRN,2020,2.8567224
BRN,2021,2.5140755
BRN,2022,2.0571136
BRN,2023,2.3340347
BRN,2024,2.2904985
BTN,1990,27.447892
BTN,1991,33.498183
BTN,1992,35.591442
BTN,1993,37.614413
BTN,1994,39.453687
BTN,1995,34.678935
BTN,1996,35.776472
BTN,1997,32.977325
BTN,1998,36.401019
BTN,1999,39.228701
BTN,2000,44.029457
BTN,2001,52.352308
BTN,2002,57.708072
BTN,2003,68.499774
BTN,2004,76.030085
BTN,2005,80.839897
BTN,2006,80.124066
BTN,2007,67.252927
BTN,2008,60.565683
BTN,2009,61.036338
BTN,2010,55.812676
BTN,2011,62.331299
BTN,2012,71.471307
BTN,2013,92.373468
BTN,2014,89.787731
BTN,2015,90.157317
BTN,2016,107.48372
BTN,2017,104.07968
BTN,2018,107.29473
BTN,2019,99.736903
BTN,2020,114.93896
BTN,2021,123.27625
BTN,2022,117.34413
BTN,2023,115.44295
BTN,2024,107.77528
BWA,1990,14.401978
BWA,1991,15.934949
BWA,1992,15.274191
BWA,1993,16.584527
BWA,1994,16.205952
BWA,1995,14.712331
BWA,1996,12.599154
BWA,1997,10.671498
BWA,1998,11.982947
BWA,1999,9.6789475
BWA,2000,8.3651587
BWA,2001,7.6064778
BWA,2002,8.5452675
BWA,2003,7.2890113
BWA,2004,11.328196
BWA,2005,7.7386926
BWA,2006,6.3226603
BWA,2007,6.1226729
BWA,2008,7.7720412
BWA,2009,23.469132
BWA,2010,27.898476
BWA,2011,28.089681
BWA,2012,27.294681
BWA,2013,24.715335
BWA,2014,23.858415
BWA,2015,25.673783
BWA,2016,22.416462
BWA,2017,19.798592
BWA,2018,19.807853
BWA,2019,21.255224
BWA,2020,24.774193
BWA,2021,23.44605
BWA,2022,21.251716
BWA,2023,22.475751
BWA,2024,32.790752
CAF,1990,44.566275
CAF,1991,55.776128
CAF,1992,57.416969
CAF,1993,68.220389
CAF,1994,103.44409
CAF,1995,83.828781
CAF,1996,92.986685
CAF,1997,88.462828
CAF,1998,85.321399
CAF,1999,84.161825
CAF,2000,94.679124
CAF,2001,103.11495
CAF,2002,98.518256
CAF,2003,95.88629
CAF,2004,99.723518
