country,year,disaster_count,total_damage_usd
TUR,2005,5,0.0
TUR,2006,2,493271000.0
TUR,2007,4,0.0
TUR,2008,1,0.0
TUR,2009,3,804192000.0
TUR,2010,1,0.0
TUR,2012,1,0.0
TUR,2015,1,0.0
TUR,2017,1,767843000.0
TUR,2018,1,0.0
TUR,2019,3,0.0
TUR,2020,5,345430000.0
TUR,2021,3,630921000.0
TUR,2022,2,0.0
TUR,2023,5,25737000.0
TUR,2024,2,0.0
USA,2000,30,10459210000.0
USA,2001,26,11270481000.0
USA,2002,29,19002006000.0
USA,2003,22,32003516000.0
USA,2004,20,92554319000.0
USA,2005,16,255492013000.0
USA,2006,29,9993584000.0
USA,2007,23,14994378000.0
USA,2008,21,84306016000.0
USA,2009,17,17920318000.0
USA,2010,14,13508208000.0
USA,2011,22,82882286000.0
USA,2012,25,134606993000.0
USA,2013,28,23951666000.0
USA,2014,19,21304265000.0
USA,2015,29,33846860000.0
USA,2016,26,58422806000.0
USA,2017,24,243802863000.0
USA,2018,19,82761193000.0
USA,2019,20,28159402000.0
USA,2020,23,94357134000.0
USA,2021,43,164982943000.0
USA,2022,26,157764742000.0
USA,2023,25,70170388000.0
USA,2024,29,155935000000.0
VNM,2000,11,530166000.0
VNM,2001,7,304535000.0
VNM,2002,6,495624000.0
VNM,2003,4,179048000.0
VNM,2004,6,63108000.0
VNM,2005,10,556360000.0
VNM,2006,11,1710111000.0
VNM,2007,6,1484157000.0
VNM,2008,10,981268000.0
VNM,2009,6,1557500000.0
VNM,2010,7,1013762000.0
VNM,2011,5,305409000.0
VNM,2012,4,509348000.0
VNM,2013,10,2090833000.0
VNM,2014,3,14178000.0
VNM,2015,5,9203817000.0
VNM,2016,8,1106292000.0
VNM,2017,9,4047369000.0
VNM,2018,7,358778000.0
VNM,2019,8,76074000.0
VNM,2020,11,1759868000.0
VNM,2021,8,30678000.0
VNM,2022,8,71280000.0
VNM,2023,6,0.0
VNM,2024,10,2040600000.0
ZAF,2000,4,309682000.0
ZAF,2001,6,0.0
ZAF,2002,6,24487000.0
ZAF,2003,2,0.0
ZAF,2004,2,0.0
ZAF,2006,2,336109000.0
ZAF,2007,3,0.0
ZAF,2008,3,628338000.0
ZAF,2009,3,0.0
ZAF,2010,1,0.0
ZAF,2011,3,308195000.0
ZAF,2012,2,273255000.0
ZAF,2013,1,0.0
ZAF,2014,1,112630000.0
ZAF,2015,1,330872000.0
ZAF,2016,3,365960000.0
ZAF,2017,5,2844857000.0
ZAF,2019,6,226993000.0
ZAF,2020,2,0.0
ZAF,2021,4,86824000.0
ZAF,2022,8,3939135000.0
ZAF,2023,6,0.0
ZAF,2024,6,60000000.0
